full_date,AMD_股價,SP500_大盤指數,美光_股價,NVIDIA_股價,三星_股價(美金),TSMC_ADR股價,費城半導體指數
2022-08-02,99.29000091552734,386.4613952636719,61.27019119262695,18.454057693481445,4854325046149120.0,80.56893920898438,2974.75
2022-08-03,98.08999633789062,392.4892883300781,63.01600646972656,18.819637298583984,4854325046149120.0,80.9996337890625,3053.4599609375
2022-08-04,103.91000366210938,392.112548828125,63.60447692871094,19.140384674072266,4854325046149120.0,82.7879638671875,3081.409912109375
2022-08-05,102.30999755859375,391.4249572753906,61.26038360595703,18.915258407592773,4854325046149120.0,84.05199432373047,3053.389892578125
2022-08-08,100.06999969482422,391.0859069824219,60.269779205322266,17.72390365600586,4854325046149120.0,82.33855438232422,3004.340087890625
2022-08-09,95.54000091552734,389.4471130371094,58.01395797729492,17.019649505615234,4854325046149120.0,79.78243255615234,2866.89990234375
2022-08-10,99.05000305175781,397.6035461425781,60.22074890136719,18.0267276763916,4854325046149120.0,83.02203369140625,2988.7099609375
2022-08-11,98.12000274658203,397.7447814941406,61.123069763183594,17.872325897216797,4854325046149120.0,83.81790161132812,2978.699951171875
2022-08-12,100.83000183105469,404.2907409667969,63.79081726074219,18.6363468170166,4854325046149120.0,85.07255554199219,3067.840087890625
2022-08-15,101.01000213623047,406.0707702636719,63.45735168457031,18.95809555053711,4854325046149120.0,85.7373275756836,3077.330078125
2022-08-16,100.19999694824219,406.9184265136719,62.63349533081055,18.805688858032227,4854325046149120.0,84.22050476074219,3045.639892578125
2022-08-17,98.2699966430664,403.85748291015625,60.436519622802734,18.263803482055664,4854325046149120.0,83.51829528808594,2970.1201171875
2022-08-18,100.44000244140625,405.0441589355469,61.7703971862793,18.700103759765625,4854325046149120.0,83.58382415771484,3037.840087890625
2022-08-19,95.94999694824219,399.6849670410156,59.34783935546875,17.77968978881836,4854325046149120.0,81.64569091796875,2953.340087890625
2022-08-22,92.83999633789062,391.30255126953125,57.190101623535156,16.96785545349121,4854325046149120.0,79.81053161621094,2843.3701171875
2022-08-23,92.48999786376953,390.43597412109375,56.74872589111328,17.114282608032227,4854325046149120.0,80.55020904541016,2864.31005859375
2022-08-24,92.7300033569336,391.65106201171875,57.190101623535156,17.155126571655273,4854325046149120.0,80.11015319824219,2866.179931640625
2022-08-25,97.18000030517578,397.1702880859375,60.02458953857422,17.84343910217285,4854325046149120.0,81.99211120605469,2971.070068359375
2022-08-26,91.18000030517578,383.59814453125,56.52313995361328,16.196857452392578,4854325046149120.0,79.34236907958984,2798.43994140625
2022-08-29,88.48999786376953,381.2906188964844,55.91505432128906,15.739640235900879,4854325046149120.0,77.57275390625,2744.5
2022-08-30,86.94000244140625,376.9204406738281,55.21870040893555,15.407937049865723,4854325046149120.0,77.51659393310547,2708.6298828125
2022-08-31,84.87000274658203,374.0854797363281,55.44427490234375,15.03538703918457,4854325046149120.0,78.04090881347656,2677.389892578125
2022-09-01,82.33000183105469,375.3663635253906,56.20930099487305,13.882880210876465,4854325046149120.0,76.43982696533203,2625.949951171875
2022-09-02,80.23999786376953,371.3540954589844,55.24811553955078,13.59400749206543,4854325046149120.0,75.74696350097656,2599.260009765625
2022-09-06,78.72000122070312,369.8753662109375,54.169246673583984,13.412713050842285,4854325046149120.0,74.932373046875,2571.469970703125
2022-09-07,79.61000061035156,376.57196044921875,53.94364929199219,13.664804458618164,4854325046149120.0,74.85746765136719,2611.5
2022-09-08,82.77999877929688,378.9454345703125,54.326171875,13.939815521240234,4854325046149120.0,75.1290054321289,2658.179931640625
2022-09-09,85.44999694824219,384.9921569824219,56.33679962158203,14.335392951965332,4854325046149120.0,76.33683013916016,2721.77001953125
2022-09-12,84.63999938964844,389.1457824707031,56.82719802856445,14.45296573638916,4854325046149120.0,76.91735076904297,2731.090087890625
2022-09-13,77.02999877929688,372.16412353515625,52.59016418457031,13.083895683288574,4854325046149120.0,73.79010009765625,2562.27001953125
2022-09-14,77.44999694824219,373.5862731933594,52.089962005615234,13.080907821655273,4854325046149120.0,74.58598327636719,2591.510009765625
2022-09-15,76.66000366210938,369.27264404296875,51.67802810668945,12.882619857788086,4854325046149120.0,73.4259033203125,2549.5400390625
2022-09-16,76.51000213623047,366.4752502441406,51.8349494934082,13.150654792785645,4854325046149120.0,73.34115600585938,2563.139892578125
