price_id,gpu_id,爬蟲日期,最低價格,最高價格,平均價格
487,17,2025/5/23,1549.99,2289.99,1994.51
488,17,2025/6/1,1549.99,2285,1993.95
489,17,2025/6/8,1549.99,2285,1993.95
490,17,2025/6/15,1549.99,2075,1876.99
491,17,2025/6/23,1549.99,2075,1869.99
492,17,2025/7/1,1549.99,2075,1867.13
493,17,2025/7/8,1549.99,1975,1789.16
494,17,2025/7/15,1549.99,1974.99,1789.16
495,17,2025/7/23,1549.99,1889.99,1759.16
496,17,2025/8/1,1389,2075,1709.82
497,17,2025/8/8,1389,2075,1706.5
498,17,2025/8/15,1389,1795,1605.66
499,17,2025/8/23,1549.99,2075,1790
500,17,2025/9/1,1549.99,2075,1744.99
501,17,2025/9/8,1549.99,2075,1741.66
502,17,2025/9/15,1549.99,2075,1741.66
503,17,2025/9/23,1549.99,2075,1778.33
504,17,2025/10/1,1549.99,1869.99,1724.16
505,17,2025/10/8,1549.99,1869.99,1752.49
506,17,2025/10/15,1549.99,1869.99,1740.82
507,17,2025/10/23,1499.99,1795,1623.19
508,17,2025/11/1,1499.99,1795,1623.19
509,17,2025/11/8,1478,1829,1670.33
510,17,2025/11/15,1429.99,1829,1662.33
511,17,2025/11/23,1549.99,1829,1703.16
512,17,2025/12/1,1549.99,1779,1688.83
513,17,2025/12/8,1549.99,1779,1684.66
514,17,2025/12/15,1549.99,1779,1673.36
515,17,2025/12/23,1449.99,1769.99,1644.66
516,17,2026/1/1,1479.99,1769.99,1649.66
517,17,2026/1/8,1549,1599.99,1569.74
518,17,2026/1/15,1549,1599.99,1567.23
519,17,2026/1/23,1549.99,1799,1671.33
520,17,2026/2/1,1549.99,1799,1674.66
521,17,2026/2/8,1549.99,1799,1671.33
522,17,2026/2/15,1549.99,1799,1651.59
523,17,2026/2/23,1549.99,1799,1658.04
524,17,2026/3/1,1549.99,1799,1651.59
525,17,2026/3/8,1549.99,1799,1658.04
526,17,2026/3/15,1549.99,1799,1646.23
527,17,2026/3/23,1549.99,1870,1715.6
528,17,2026/4/1,1549.99,1839.99,1697.78
529,17,2026/4/8,1549.99,1799,1681.59
530,17,2026/4/15,1549.99,1799,1656.4
531,17,2026/4/23,1549.99,1799,1645.78
532,17,2026/5/1,1549.99,1799,1641.78
533,17,2026/5/8,1549.99,1649.95,1592.48
534,17,2026/5/15,1549.99,1799,1658.04
535,17,2026/5/23,1549.99,1799,1645.78
536,17,2026/6/1,1545,1599.99,1561.23
537,17,2026/6/8,1499.95,1799,1619.78
538,17,2026/6/15,1499.95,1639.95,1572.47
539,17,2026/6/23,1499.95,1599.99,1546.5
540,17,2026/7/1,1499.95,1599.99,1537.48
541,17,2026/7/8,1399.99,1599.99,1516.66
542,17,2026/7/15,1199.99,1599.99,1462.65
543,17,2026/7/23,1199.99,1599.99,1456.5
544,17,2026/8/1,1399.99,1689,1541.28
545,17,2026/8/8,1399.99,1599.99,1506.34
546,17,2026/8/15,1548.99,1799,1679
547,17,2026/8/23,1499.99,1799,1662.66
548,17,2026/9/1,1549.99,1799,1679.33
549,17,2026/9/8,1549.99,1799,1679.33
550,18,2024/2/1,999.99,1299.99,1100.31
551,18,2024/2/8,999.99,1549,1151.55
552,18,2024/2/15,999.99,1499.99,1172.69
553,18,2024/2/23,999.99,1539,1176.4
554,18,2024/3/1,999.99,1529.99,1178.03
555,18,2024/3/8,999.99,1397.99,1149.67
556,18,2024/3/15,999.99,1399,1166.71
557,18,2024/3/23,999.99,1299.99,1141.43
558,18,2024/4/1,999.99,1399.99,1158.48
559,18,2024/4/8,999.99,1338.7,1142.34
560,18,2024/4/15,999.99,1368.74,1137.76
561,18,2024/4/23,994.99,1299.99,1118.26
562,18,2024/5/1,999.98,1399.99,1120.59
563,18,2024/5/8,989.99,1399.99,1131.74
564,18,2024/5/15,949.99,1352.99,1117.21
565,18,2024/5/23,949.99,1352.99,1119.08
566,18,2024/6/1,969.99,1399.99,1127.19
567,18,2024/6/8,976,1352.99,1134.56
568,18,2024/6/15,967.99,1450.41,1122.7
569,18,2024/6/23,949.99,1445.62,1121.32
570,18,2024/7/1,964,1397.36,1124.74
571,18,2024/7/8,964.99,1388.3,1107.14
572,18,2024/7/15,950.96,1377,1123.2
573,18,2024/7/23,959,1407.13,1118.51
574,18,2024/8/1,949.99,1455,1122.54
575,18,2024/8/8,959.83,1434.34,1121.93
576,18,2024/8/15,959.83,1352.99,1116.53
577,18,2024/8/23,958,1352.99,1118.34
578,18,2024/9/1,959.99,1352.99,1129.34
579,18,2024/9/8,959.99,1397.37,1125.12
580,18,2024/9/15,959.99,1349.99,1112.13
581,18,2024/9/23,959.99,1349.99,1119.78
582,18,2024/10/1,989.99,1369.99,1118.01
583,18,2024/10/8,999.99,1369.99,1117.99
584,18,2024/10/15,999.99,1369.99,1115.84
585,18,2024/10/23,989.99,1388.99,1114.71
586,18,2024/11/1,999.97,1402.99,1110.16
587,18,2024/11/8,979.99,1299.99,1096.38
588,18,2024/11/15,949.99,1349.99,1107.65
589,18,2024/11/23,949.99,1399.99,1111.81
590,18,2024/12/1,999.99,1637.99,1180.56
591,18,2024/12/8,999.99,1994.99,1296.86
